College Code,College Name,Place,District Name,Region,College Type,Minority,Co-Educational,Affiliated to,Branch,Fee Structure,Convener Seats
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYDERABAD,OU,PVT,NA,GIRLS,JNTUH,INF,75000,93
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,AID,72000,46
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CIV,72000,23
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSD,72000,46
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSE,72000,139
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSM,72000,47
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,ECE,72000,46
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,EEE,72000,23
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,MEC,72000,46
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,PHM,90000,39
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,AID,68000,47
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CIV,68000,46
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSC,68000,46
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSD,68000,46
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSE,68000,139
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSM,68000,46
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSW,68000,46
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,ECE,68000,46
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,EEE,68000,23
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,MEC,68000,23
BSKR,BHASKAR ENGINEERING COLLEGE,YENKAPALLY,RANGAREDDY,OU,PVT,NA,COED,JNTUH,AID,50000,46
BSKR,BHASKAR ENGINEERING COLLEGE,YENKAPALLY,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSE,50000,93
BSKR,BHASKAR ENGINEERING COLLEGE,YENKAPALLY,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSM,50000,46
BSKR,BHASKAR ENGINEERING COLLEGE,YENKAPALLY,RANGAREDDY,OU,PVT,NA,COED,JNTUH,ECE,50000,23
