College Code,College Name,Branch Code,Rank,Gender,Region,Caste,Seat Category
CGNT,"GOVERNMENT POLYTECHNIC, CHEGUNTA",EE,58223,F,OU,ST,ST_GIRLS_UR
BLMP,"GOVT POLYTECHNIC, BELLAMPALLI",EI,58223,F,OU,SC,SC_GIRLS_OU
MBNR,"GOVT POLYTECHNIC , MAHABUB NAGAR",ME,58223,M,OU,BC_D,ST_GEN_OU
YDGR,"GOVT.POLYTECHNIC, YADAGIRIGUTTA",ME,58223,M,OU,BC_D,BC_D_GEN_OU
MDRA,"GOVT.POLYTECHNIC, MADHIRA",ME,58223,M,OU,BC_D,BC_D_GEN_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",ME,58223,F,OU,SC,SC_GIRLS_OU
NALG,"GOVT POLYTECHNIC , NALGONDA",CE,58307,M,OU,BC_B,BC_A_GEN_OU
GTSR,"GAYATRI INST OF TECH AND SCI, WANAPARTHY",CE,58307,M,OU,BC_D,BC_A_GEN_UR
VISA,"VATHSALYA INSTITUTE OF SCI. AND TECHNOLOGY, BHONGIR",CS,58307,M,OU,SC,SC_GEN_OU
RITM,"RATNAPURI INSTITUTE OF TECH. COLL. OF POLYTECHNIC, TURAKALA KHANAPUR",CS,58307,M,OU,ST,ST_GEN_OU
MGHA,"MEGHA INST OF ENGG AND TECHNOLOGY FOR WOMEN, GHATKESAR",EC,58307,F,OU,SC,SC_GIRLS_OU
PETW,"PRINCETON INST OF ENGG TECH FOR WOMEN, GHATKESAR",EC,58307,F,OU,BC_B,BC_A_GIRLS_OU
BRIG,"BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS, HAYATHNAGAR",EE,58307,M,OU,BC_B,BC_B_GEN_OU
TKRC,"T K R COLLEGE OF ENGG. AND TECHNOLOGY, MIRPET",ME,58307,M,OU,BC_D,BC_D_GEN_UR
ARJN,"ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE, BATASINGARAM",EC,58352,M,OU,BC_D,BC_D_GEN_OU
SBIT,"SWARNA BHARATHI INSTITUTE OF SCI. AND TECHNOLOGY, KHAMMAM",EC,58352,M,OU,BC_B,BC_B_GEN_OU
BRIL,"BRILLIANT INSTT OF ENGG AND TECHNOLOGY, HAYATHNAGAR",EC,58352,M,OU,BC_B,BC_E_GEN_OU
MAHM,"GOVERNMENT POLYTECHNIC, MAHESHWARAM",EE,58352,F,OU,BC_D,BC_B_GIRLS_UR
RITM,"RATNAPURI INSTITUTE OF TECH. COLL. OF POLYTECHNIC, TURAKALA KHANAPUR",ME,58352,M,OU,BC_D,OC_GEN_OU
